id,tree
odoo-module-open,OR($OBJECT.open(...);open(...);send_file(...);from_path(...))
odoo-markup,AND(NOT(frommarkupsafeimport$O\n...\nMarkup(...)\n...\n))
odoo-false-sanitize-attributes,AND(OR(r:\bsanitizes*=\s*False;r:\bsanitize\_attributes\s*=\s*False;r:\bsanitize\_form\s*=\s*False))
odoo-external-control-of-file-name-or-path,"AND(NOT(open(^[a-zA-Z0-9_\-\.""]+$,...));open(...,...))"
odoo-database-secret,"AND($SECRET=$SUDO.get_param(""database.secret"")\n;NOT(def$FUNCTION(...):\n...\n$SECRET.encode(...)\n)"
odoo-safe_eval,"AND(NOT($OBJECT.safe_eval(...,self._get_eval_context(),...));NOT(safe_eval(...,self._get_eval_context(),...));OR(eval(...);safe_eval(...);$OBJECT.safe_eval(...);def_get_eval_context(...):\n...\n);NOT(NOT(OR(NOT($VAL=self.env[...].$ANYTHING(...)\n...\n$OBJECT.safe_eval(...,{...,'...':$VAL,...},...\n$VAL=self.env[...].$ANYTHING(...)\n...\nsafe_eval(...,{...,'...':$VAL,...},...)\n\n...)\n);NOT($VAL=self.env[...\n$VAL=self.env[...].$ANYTHING(...)\n...\nsafe_eval(...,{...,'...':$VAL,...},...)\n\n...].$ANYTHING(...)\n...\n$OBJECT.safe_eval(...,{...,'...':$VAL,...},...)\n);NOT($VAL=self.env[...].$ANYTHING(...,$VAL=self.env[...].$ANYTHING(...)\n...\nsafe_eval(...,{...,'...':$VAL,...},...)\n,...)\n...\n$OBJECT.safe_eval(...,{...,'...':$VAL,...},...)\n);NOT($VAL=self.env[...].$ANYTHING(...)\n...\n$VAL=self.env[...].$ANYTHING(...)\n...\nsafe_eval(...,{...,'...':$VAL,...},...)\n\n...\n$OBJECT.safe_eval(...,{...,'...':$VAL,...},...)\n);NOT($VAL=self.env[...].$ANYTHING(...)\n...\n$OBJECT.safe_eval(...\n$VAL=self.env[...].$ANYTHING(...)\n...\nsafe_eval(...,{...,'...':$VAL,...},...)\n\n...,{...,'...':$VAL,...},...)\n);NOT($VAL=self.env[...].$ANYTHING(...)\n...\n$OBJECT.safe_eval(...,{...\n$VAL=self.env[...].$ANYTHING(...)\n...\nsafe_eval(...,{...,'...':$VAL,...},...)\n\n...,'...':$VAL,...},...)\n);NOT($VAL=self.env[...].$ANYTHING(...)\n...\n$OBJECT.safe_eval(...,{...,'...\n$VAL=self.env[...].$ANYTHING(...)\n...\nsafe_eval(...,{...,'...':$VAL,...},...)\n\n...':$VAL,...},...)\n);NOT($VAL=self.env[...].$ANYTHING(...)\n...\n$OBJECT.safe_eval(...,{...,'...':$VAL,...\n$VAL=self.env[...].$ANYTHING(...)\n...\nsafe_eval(...,{...,'...':$VAL,...},...)\n\n...},...)\n)))))"
odoo-unescape,(r:unescape\b)
odoo-risky-module,"AND(OR(r:\bos\.;r:\bsys\.;r:\bzipfile\.;r:\btempfile\.;r:\btarfile\.;r:\bpathlib\.;r:\bctypes\.;r:\burllib\.);NOT(r:zipfile\.is\_zipfile);NOT(r:zipfile\.BadZipfile);NOT(r:zipfile\.ZIP\_DEFLATED);NOT(r:os\.path\.realpath\([^\)]+\));NOT(r:os\.path\.exists\([^\)]+\));NOT(r:os\.path\.isdir\([^\)]+\));NOT(r:os\.urandom);NOT(r:os\.path\.splitext);NOT(r:os\.sep);NOT(r:os\.path\.sep);NOT(r:os\.path\.altsep);NOT(r:os\.altsep);NOT(r:os\.walk);NOT(r:os\.path\.normpath);NOT(r:os\.path\.relpath);NOT(r:os\.path\.dirname);NOT(r:os\.path\.join);NOT(r:os\.path\.abspath);NOT(r:os\.access);NOT(r:os\.path\.isfile);NOT(r:os\.path\.basename);NOT(r:os\.path\.abspath);NOT(r:os\.path\.expanduser);NOT(r:os\.path\.expandvars);NOT(r:os\.close);NOT(r:from\s*os\.);NOT(r:os\.listdir);NOT(r:import\s*os\.);NOT(r:sys\.exit);NOT(r:import\s*sys\.);NOT(r:sys\.modules\['[^']+'\]);NOT(r:from\s*sys\.);NOT(r:sys\.arg\[0\]);NOT(r:sys\.stderr\();NOT(r:sys\.stderr\.write\(""[^']+""\));NOT(r:\.join\(pathlib\.Path\([^\)]+\)\.suffixes\));NOT(pathlib.$OBJECT.suffixes);NOT(r:\(?pathlib\.Path\([^\)]+\)\.suffixes\)?);NOT(r:urllib\.parse\.quote\(request\.httprequest\.full\_path\));NOT(r:import\s*urllib\.);NOT(r:tempfile\.mkstemp);NOT(r:tempfile\.NamedTemporaryFile);NOT(r:tempfile\.TemporaryFile))"
odoo-unsafe-connection,"AND(OR(http.route(...,csrf=False,...);$APP.config['WTF_CSRF_ENABLED']=False);NOT(http.route(...,csrf=False,...,auth='public';...));NOT(http.route(...,csrf=False,...,auth='none';...)))"
odoo-cr_execute,"AND(OR($CONNECTION.execute($SQL+$VAL,...)\n;$CONNECTION.execute($SQL%$VAL,...)\n;$CONNECTION.execute($SQL.format($VAL),...)\n;cr.execute($SQL.format($VAL),...)\n;AND($QUERY=$SQL+$VAL\n...\n$CONNECTION.execute($QUERY,...)\n\n...\);AND($QUERY=$SQL%$VAL\n...\n$CONNECTION.execute($QUERY,...)\n\n...\);AND($QUERY=$SQL.format($VAL)\n...\n$CONNECTION.execute($QUERY,...)\n\n...\);AND(OR($QUERY=f""...{...}...""\n...\n$CONNECTION.execute($QUERY,...)\n\n...\n;$QUERY=f""...\n$CONNECTION.execute($QUERY,...)\n\n...{...}...""\n...\n;$QUERY=f""...{...\n$CONNECTION.execute($QUERY,...)\n\n...}...""\n...\n;$QUERY=f""...{...}...\n$CONNECTION.execute($QUERY,...)\n\n...""\n...\n)))"
